file,algorithm,partitions,ingress,rf,total_ingress,compute_imbalance,total_time,total_network
pagerank-128-plsync-hybrid,pagerank,128,hybrid,8.68501,685.9124,nan,1e-06,52806133651
pagerank-128-plsyncec-ldg,pagerank,128,ldg,12.1405,4932.6525,nan,1e-06,91300537827
pagerank-64-plsync-random,pagerank,64,random,17.8269,703.7349,nan,1e-06,75124985383
pagerank-128-plsyncec-random_ec,pagerank,128,random_ec,15.6226,278.6578,nan,0.0,68155701894
pagerank-8-plsync-random,pagerank,8,random,5.99016,1044.056,nan,1e-06,32562430846
pagerank-64-plsyncec-random_ec,pagerank,64,random_ec,12.4755,252.2046,nan,1e-06,56458653083
pagerank-32-plsync-hybrid_ginger,pagerank,32,hybrid_ginger,4.61223,848.739,nan,1e-06,59416075553
pagerank-64-plsyncec-ldg,pagerank,64,ldg,9.70161,2789.2867,nan,1e-06,64193193325
pagerank-8-plsyncec-ldg,pagerank,8,ldg,4.00342,1408.326,nan,0.0,27926624269
pagerank-32-plsyncec-random_ec,pagerank,32,random_ec,9.58776,314.928,nan,1e-06,46019839535
pagerank-32-plsyncec-ldg,pagerank,32,ldg,7.58424,1834.2701,nan,0.0,47538637243
pagerank-8-plsyncec-random_ec,pagerank,8,random_ec,4.65302,631.014,nan,1e-06,28290205042
pagerank-32-plsync-grid,pagerank,32,grid,0,0,1.0,0,0
pagerank-16-plsync-hybrid_ginger,pagerank,16,hybrid_ginger,3.49004,1030.583,nan,1e-06,51267733944
pagerank-16-plsyncec-random_ec,pagerank,16,random_ec,6.94053,380.473,nan,1e-06,36501853287
pagerank-128-plsync-dbh,pagerank,128,dbh,8.33141,2227.778,nan,0.0,91983139080
pagerank-128-plsyncec-metis,pagerank,128,metis,9.54814,326.4848,nan,1e-06,46328898786
pagerank-128-plsyncec-fennel,pagerank,128,fennel,11.6343,5582.2693,nan,1e-06,89478638825
pagerank-16-plsync-dbh,pagerank,16,dbh,4.3073,1168.849,nan,1e-06,45424712485
pagerank-16-plsyncec-metis,pagerank,16,metis,4.14916,434.3589,nan,1e-06,26493167882
pagerank-16-plsyncec-ldg,pagerank,16,ldg,5.60133,1436.059,nan,1e-06,35911835650
pagerank-32-plsyncec-fennel,pagerank,32,fennel,7.11626,1869.1735,nan,0.0,45859951745
pagerank-16-plsync-random,pagerank,16,random,9.35377,907.188,nan,0.0,44632669639
pagerank-16-plsync-grid,pagerank,16,grid,5.50259,867.602,nan,1e-06,30814149263
pagerank-64-plsync-grid,pagerank,64,grid,9.12598,670.7079,nan,1e-06,43861339803
pagerank-32-plsync-hybrid,pagerank,32,hybrid,4.67776,724.5869,nan,1e-06,37662928784
pagerank-8-plsync-hybrid_ginger,pagerank,8,hybrid_ginger,2.66676,1426.227,nan,5e-06,45783733801
pagerank-128-plsync-grid,pagerank,128,grid,0,0,1.0,0,0
pagerank-8-plsyncec-fennel,pagerank,8,fennel,3.5563,1290.791,nan,1e-06,26323612279
pagerank-32-plsyncec-metis,pagerank,32,metis,5.65917,344.7548,nan,1e-06,31929773266
pagerank-128-plsync-random,pagerank,128,random,22.4973,763.4375,nan,1e-06,92292836207
pagerank-64-plsync-hybrid,pagerank,64,hybrid,6.3201,668.2108,nan,1e-06,43800067527
pagerank-8-plsync-hybrid,pagerank,8,hybrid,2.74933,1067.459,nan,0.0,29763492594
pagerank-128-plsync-hybrid_ginger,pagerank,128,hybrid_ginger,8.65329,827.125,nan,0.0,97430328556
pagerank-64-plsync-dbh,pagerank,64,dbh,6.79981,1459.909,nan,1e-06,67990234894
pagerank-8-plsyncec-metis,pagerank,8,metis,3.01963,576.687,nan,0.0,22433982575
pagerank-64-plsyncec-fennel,pagerank,64,fennel,9.24533,3020.6604,nan,0.0,62553858934
pagerank-16-plsync-hybrid,pagerank,16,hybrid,3.57002,874.085,nan,1e-06,33347710993
pagerank-64-plsyncec-metis,pagerank,64,metis,7.54279,306.3931,nan,1e-06,38755681449
pagerank-32-plsync-random,pagerank,32,random,13.4035,770.5443,nan,1e-06,59179145601
pagerank-32-plsync-dbh,pagerank,32,dbh,5.48381,1232.349,nan,0.0,54173566142
pagerank-64-plsync-hybrid_ginger,pagerank,64,hybrid_ginger,6.27724,752.5427,nan,0.0,73203213789
pagerank-8-plsync-dbh,pagerank,8,dbh,3.24191,1257.514,nan,1e-06,39341991007
pagerank-16-plsyncec-fennel,pagerank,16,fennel,5.09047,1298.598,nan,1e-06,34080033486
