file,algorithm,partitions,ingress,rf,total_ingress,compute_imbalance,total_time,total_network
pagerank-128-plsyncec-metis,pagerank,128,metis,1.01711,726.4908,nan,1e-06,38949793760
pagerank-64-plsyncec-ldg,pagerank,64,ldg,2.11328,7163.7262,nan,1e-06,82610218801
pagerank-16-plsyncec-random_ec,pagerank,16,random_ec,3.96672,691.259,nan,1e-06,58164970457
pagerank-32-plsyncec-fennel,pagerank,32,fennel,1.93834,4809.552,nan,1e-06,60168254264
pagerank-64-plsync-hybrid,pagerank,64,hybrid,6.64047,1608.8046,nan,1e-06,119363822720
pagerank-32-plsyncec-ldg,pagerank,32,ldg,1.93683,4864.326,nan,0.0,60154804594
pagerank-64-plsyncec-metis,pagerank,64,metis,1.01513,684.3153,nan,1e-06,38595996074
pagerank-128-plsync-hybrid_ginger,pagerank,128,hybrid_ginger,8.03854,2085.194,nan,1e-06,255898294620
pagerank-16-plsync-hybrid,pagerank,16,hybrid,4.14518,1942.512,nan,1e-06,95155437625
pagerank-32-plsyncec-metis,pagerank,32,metis,1.0125,697.5225,nan,1e-06,38527908229
pagerank-128-plsync-random,pagerank,128,random,0,0,1.0,0,0
pagerank-64-plsyncec-random_ec,pagerank,64,random_ec,6.02933,449.9162,nan,1e-06,76759658191
pagerank-16-plsync-dbh,pagerank,16,dbh,7.58248,2334.077,nan,0.0,143774249144
pagerank-32-plsync-random,pagerank,32,random,15.7746,1738.664,nan,0.0,170998466245
pagerank-64-plsync-hybrid_ginger,pagerank,64,hybrid_ginger,6.36461,1835.779,nan,0.0,196676512663
pagerank-16-plsyncec-ldg,pagerank,16,ldg,1.78528,3562.702,nan,0.0,48373860283
pagerank-32-plsyncec-random_ec,pagerank,32,random_ec,4.92686,543.7554,nan,1e-06,66794313532
pagerank-128-plsyncec-random_ec,pagerank,128,random_ec,7.34571,478.3736,nan,1e-06,88973901928
pagerank-64-plsync-random,pagerank,64,random,21.5803,1783.695,nan,0.0,223666710994
pagerank-16-plsync-hybrid_ginger,pagerank,16,hybrid_ginger,3.81631,2663.69,nan,1e-06,139520937886
pagerank-64-plsyncec-fennel,pagerank,64,fennel,2.12058,7681.9479,nan,0.0,82675407786
pagerank-128-plsync-grid,pagerank,128,grid,0,0,1.0,0,0
pagerank-128-plsyncec-ldg,pagerank,128,ldg,2.33707,12762.4266,nan,1e-06,126611099811
pagerank-64-plsync-grid,pagerank,64,grid,10.0787,1710.0714,nan,0.0,119446218654
pagerank-16-plsync-grid,pagerank,16,grid,5.669,1834.17,nan,0.0,79470636895
pagerank-32-plsync-hybrid_ginger,pagerank,32,hybrid_ginger,4.98319,2023.538,nan,1e-06,161923870203
pagerank-128-plsync-dbh,pagerank,128,dbh,0,0,1.0,0,0
pagerank-16-plsyncec-fennel,pagerank,16,fennel,1.78539,3495.933,nan,1e-06,48374802533
pagerank-16-plsyncec-metis,pagerank,16,metis,1.01003,878.795,nan,1e-06,38499374675
pagerank-64-plsync-dbh,pagerank,64,dbh,13.8088,3091.731,nan,1e-06,231546979690
pagerank-128-plsyncec-fennel,pagerank,128,fennel,2.329,14347.5428,nan,1e-06,126536603916
pagerank-32-plsync-grid,pagerank,32,grid,0,0,1.0,0,0
pagerank-16-plsync-random,pagerank,16,random,10.4086,1785.552,nan,0.0,122387818322
pagerank-128-plsync-hybrid,pagerank,128,hybrid,8.23485,1688.0495,nan,1e-06,134526914676
pagerank-32-plsync-dbh,pagerank,32,dbh,10.6805,2543.508,nan,1e-06,182274997324
pagerank-32-plsync-hybrid,pagerank,32,hybrid,5.31423,1631.994,nan,1e-06,106757524470
