file,algorithm,partitions,ingress,rf,total_ingress,compute_imbalance,total_time,total_network
connected_component-8-plsync-ldg,connected_component,8,ldg,1.63501,3486.249,1.09240204105,636.289,56547267934
sssp-64-plsync-dbh,sssp,64,dbh,13.8088,3178.508,1.10558228228,91.3432,265205562196
sssp-128-plsync-random_ec,sssp,128,random_ec,7.34571,515.864,1.2860369625,562.892,143742460878
pagerank-8-plsync-hybrid,pagerank,8,hybrid,0,0,1.0,0,0
sssp-128-plsync-grid,sssp,128,grid,0,0,1.0,0,0
sssp-64-plsync-random_ec,sssp,64,random_ec,6.02933,456.0773,1.11077286217,253.545,94036817529
pagerank-64-plsyncec-metis,pagerank,64,metis,1.01513,726.3683,1.27899373083,41.6398,39214854270
connected_component-64-plsync-random,connected_component,64,random,21.5803,1738.045,1.04597303678,440.212,669030799387
connected_component-32-plsync-hybrid_ginger,connected_component,32,hybrid_ginger,4.98319,2076.701,1.05044548914,332.413,245938126399
sssp-16-plsync-hybrid_ginger,sssp,16,hybrid_ginger,0,0,1.0,0,0
pagerank-64-plsyncec-fennel,pagerank,64,fennel,2.21796,7775.7357,4.66589275283,158.676,124072770816
pagerank-64-plsync-random,pagerank,64,random,21.5803,1736.721,1.16154567369,604.724,949809375692
connected_component-64-plsync-dbh,connected_component,64,dbh,13.8088,3106.234,1.04750125254,296.392,506134154754
pagerank-16-plsync-hybrid_ginger,pagerank,16,hybrid_ginger,3.81631,2673.231,1.06833385198,750.061,226502366826
pagerank-128-plsync-hybrid_ginger,pagerank,128,hybrid_ginger,8.03854,2101.024,1.12850306511,287.491,521778864572
pagerank-128-plsyncec-ldg,pagerank,128,ldg,2.33707,12768.4414,8.03664588539,105.941,164539037055
sssp-128-plsync-ldg,sssp,128,ldg,2.33707,12828.2655,1.0,0,0
connected_component-8-plsync-random,connected_component,8,random,0,0,1.0,0,0
sssp-32-plsync-hybrid_ginger,sssp,32,hybrid_ginger,4.98319,2048.565,1.0,0,0
connected_component-16-plsync-hybrid_ginger,connected_component,16,hybrid_ginger,3.81631,2731.91,1.07782296498,544.412,199288824004
sssp-8-plsync-hybrid,sssp,8,hybrid,0,0,1.0,0,0
sssp-128-plsync-hybrid,sssp,128,hybrid,8.23485,1704.923,1.29150969042,148.053,174169667099
sssp-16-plsync-ldg,sssp,16,ldg,1.78528,3617.546,1.60985592065,163.717,60446651201
pagerank-128-plsync-grid,pagerank,128,grid,0,0,1.0,0,0
pagerank-32-plsyncec-hybrid_ginger,pagerank,32,hybrid_ginger,4.98319,2045.609,1.01553832948,254.954,182320190089
pagerank-128-plsyncec-random_ec,pagerank,128,random_ec,7.34571,520.5102,1.17768063481,204.723,262496389090
sssp_gather-64-plsyncec-metis,sssp_gather,64,metis,1.01513,714.1401,1.70124429068,69.904,54634168807
pagerank-32-plsync-dbh,pagerank,32,dbh,10.6805,2534.39,1.06920996206,611.751,479503636000
connected_component-32-plsync-grid,connected_component,32,grid,0,0,1.0,0,0
connected_component-16-plsync-ldg,connected_component,16,ldg,1.78528,3583.489,1.32158089616,322.771,66561473365
pagerank-32-plsync-hybrid_ginger,pagerank,32,hybrid_ginger,4.98319,2071.296,1.02454195193,481.805,291303319669
pagerank-16-plsyncec-random_ec,pagerank,16,random_ec,3.96672,723.368,1.21629133831,486.954,138486750427
connected_component-64-plsync-random_ec,connected_component,64,random_ec,6.02933,508.6762,1.04148680261,168.699,190830530636
sssp-64-plsync-random,sssp,64,random,21.5803,1679.397,1.15265488563,116.744,245357036576
pagerank-16-plsyncec-fennel,pagerank,16,fennel,1.86037,3557.225,2.14991664443,516.635,79529538070
sssp-128-plsync-fennel,sssp,128,fennel,2.329,14508.0246,1.0,0,0
sssp-8-plsync-fennel,sssp,8,fennel,0,0,1.0,0,0
sssp_gather-32-plsyncec-metis,sssp_gather,32,metis,1.0125,789.6217,1.48198400746,93.4048,53429092516
connected_component-32-plsync-dbh,connected_component,32,dbh,10.6805,2536.037,1.19644156018,400.313,390905036237
sssp-8-plsync-dbh,sssp,8,dbh,0,0,1.0,0,0
sssp_gather-128-plsyncec-fennel,sssp_gather,128,fennel,2.43842,14627.6282,4.16835990808,166.864,175322670981
pagerank-8-plsync-dbh,pagerank,8,dbh,0,0,1.0,0,0
connected_component-128-plsync-dbh,connected_component,128,dbh,0,0,1.0,0,0
sssp_gather-32-plsyncec-fennel,sssp_gather,32,fennel,2.02413,5008.578,1.79862926714,127.244,91500555415
sssp-32-plsync-hybrid,sssp,32,hybrid,5.31423,1598.665,1.30988310225,60.7835,135516427888
sssp_gather-128-plsync-hybrid_ginger,sssp_gather,128,hybrid_ginger,8.03854,2122.088,1.13615167957,223.21,363170318210
sssp-32-plsync-dbh,sssp,32,dbh,10.6805,2551.445,1.25819225105,81.9081,214195314007
sssp-32-plsync-fennel,sssp,32,fennel,1.93834,4960.666,1.0,0,0
sssp_gather-64-plsync-hybrid_ginger,sssp_gather,64,hybrid_ginger,6.36461,1820.811,1.1450858763,119.477,272495789951
connected_component-8-plsync-hybrid_ginger,connected_component,8,hybrid_ginger,0,0,1.0,0,0
sssp-16-plsync-random,sssp,16,random,10.4086,1833.905,1.08443716551,137.919,140258570450
pagerank-32-plsyncec-random_ec,pagerank,32,random_ec,4.92686,539.2269,1.26374204611,277.86,173134890308
sssp-16-plsync-random_ec,sssp,16,random_ec,3.96672,725.523,1.06379603533,183.778,70181891332
pagerank-64-plsync-dbh,pagerank,64,dbh,13.8088,3162.881,1.36658617628,351.461,626036326358
connected_component-16-plsync-random_ec,connected_component,16,random_ec,3.96672,707.094,1.30404962561,436.507,125814934448
connected_component-32-plsync-fennel,connected_component,32,fennel,2.02413,4957.642,1.50278999356,231.105,90647145282
pagerank-32-plsync-hybrid,pagerank,32,hybrid,5.31423,1629.885,1.20482098045,293.808,245234327816
pagerank-32-plsyncec-metis,pagerank,32,metis,1.0125,794.6126,1.19114005023,110.447,38882159881
pagerank-128-plsync-random,pagerank,128,random,27.0876,1896.304,1.14871944917,946.63,1196270021205
sssp_gather-128-plsyncec-metis,sssp_gather,128,metis,1.01711,742.3736,1.94741179074,133.852,63490716507
pagerank-8-plsyncec-fennel,pagerank,8,fennel,0,0,1.0,0,0
connected_component-128-plsync-random,connected_component,128,random,27.0876,1859.401,1.0,0,0
connected_component-16-plsync-random,connected_component,16,random,10.4086,1845.214,1.18055385438,927.678,331673977164
pagerank-64-plsyncec-random_ec,pagerank,64,random_ec,6.02933,485.7123,1.17412817488,141.682,213137841779
connected_component-64-plsync-grid,connected_component,64,grid,10.0787,1633.8301,1.13047788017,184.852,322787963595
pagerank-16-plsync-random,pagerank,16,random,10.4086,1787.955,1.23302140039,1898.18,473451725652
connected_component-16-plsync-grid,connected_component,16,grid,5.669,1855.387,1.17104134144,497.278,186485691792
connected_component-32-plsync-hybrid,connected_component,32,hybrid,5.31423,1586.8502,1.23018904304,203.807,197564953902
connected_component-8-plsync-random_ec,connected_component,8,random_ec,3.10774,1154.815,1.10245001758,867.009,98735674153
pagerank-32-plsyncec-ldg,pagerank,32,ldg,1.93683,4891.115,3.17315406023,330.094,85545624796
sssp-8-plsync-random,sssp,8,random,0,0,1.0,0,0
connected_component-128-plsync-ldg,connected_component,128,ldg,2.33707,12822.2287,2.38748506257,159.581,163387969747
sssp_gather-16-plsync-hybrid_ginger,sssp_gather,16,hybrid_ginger,3.8163,2707.794,1.07216390742,243.268,191299642683
sssp-128-plsync-random,sssp,128,random,27.0876,1837.347,1.17641309131,215.293,305454038966
sssp-64-plsync-fennel,sssp,64,fennel,2.12058,7921.9947,3.70354411589,232.979,100138598880
pagerank-16-plsync-grid,pagerank,16,grid,5.669,1823.678,1.16927646663,959.253,268921444395
connected_component-8-plsync-grid,connected_component,8,grid,0,0,1.0,0,0
pagerank-128-plsyncec-metis,pagerank,128,metis,1.01711,711.9759,1.28284756769,34.9582,41145323144
pagerank-8-plsyncec-random_ec,pagerank,8,random_ec,3.10774,1185.051,1.10814216593,1107.29,107521725379
connected_component-64-plsync-metis,connected_component,64,metis,1.01513,678.9084,1.16426748979,61.9698,39139840326
connected_component-128-plsync-metis,connected_component,128,metis,1.01711,710.8306,1.18687422028,90.6707,45189551515
connected_component-32-plsync-ldg,connected_component,32,ldg,1.93683,5000.761,1.52016988462,220.766,81822509184
sssp-8-plsync-ldg,sssp,8,ldg,0,0,1.0,0,0
pagerank-16-plsync-dbh,pagerank,16,dbh,7.58248,2469.61,1.25243801264,1075.43,346986875414
sssp_gather-32-plsyncec-ldg,sssp_gather,32,ldg,2.02252,4977.865,1.89304326134,133.792,91496330137
pagerank-64-plsync-grid,pagerank,64,grid,10.0787,1644.0332,1.45538614765,220.344,461071866922
sssp-32-plsync-random_ec,sssp,32,random_ec,4.92686,572.368,1.15869662264,179.999,79374512064
sssp-8-plsync-random_ec,sssp,8,random_ec,3.10774,1137.042,1.09260983146,236.495,62431192544
sssp-8-plsync-grid,sssp,8,grid,0,0,1.0,0,0
sssp-32-plsync-ldg,sssp,32,ldg,1.93683,5135.275,2.41230234897,165.329,72858654011
pagerank-16-plsyncec-metis,pagerank,16,metis,1.01003,883.954,1.11837735174,224.564,38762226455
sssp-64-plsync-hybrid,sssp,64,hybrid,6.64047,1590.0064,1.07190150238,74.9932,149890382470
connected_component-128-plsync-grid,connected_component,128,grid,0,0,1.0,0,0
connected_component-128-plsync-hybrid_ginger,connected_component,128,hybrid_ginger,8.03854,2048.305,1.0803445428,265.626,408600691325
pagerank-32-plsyncec-fennel,pagerank,32,fennel,2.02413,4947.108,2.71844736072,313.395,95944913795
pagerank-8-plsync-random,pagerank,8,random,0,0,1.0,0,0
connected_component-8-plsync-fennel,connected_component,8,fennel,0,0,1.0,0,0
pagerank-8-plsync-hybrid_ginger,pagerank,8,hybrid_ginger,0,0,1.0,0,0
connected_component-64-plsync-hybrid,connected_component,64,hybrid,6.64047,1556.3655,1.17606922176,163.439,238052723986
sssp-32-plsync-grid,sssp,32,grid,0,0,1.0,0,0
sssp_gather-32-plsync-hybrid_ginger,sssp_gather,32,hybrid_ginger,4.98319,2091.34,1.07033765378,178.018,222406675670
connected_component-32-plsync-random_ec,connected_component,32,random_ec,4.92686,588.977,1.37861294945,261.093,155914619268
connected_component-32-plsync-metis,connected_component,32,metis,1.0125,741.2675,1.16033485994,113.474,38309783677
pagerank-64-plsync-hybrid,pagerank,64,hybrid,6.64047,1589.5493,1.78758021965,194.432,313763865808
pagerank-128-plsync-dbh,pagerank,128,dbh,0,0,1.0,0,0
sssp-128-plsync-hybrid_ginger,sssp,128,hybrid_ginger,8.03854,2093.216,1.0,0,0
connected_component-64-plsync-fennel,connected_component,64,fennel,2.21796,7861.5493,1.80909234812,130.378,118043529744
sssp_gather-64-plsyncec-ldg,sssp_gather,64,ldg,2.20977,7439.6374,2.48368450482,95.1915,118419316834
connected_component-128-plsync-random_ec,connected_component,128,random_ec,7.34571,551.5005,1.05595121109,247.071,237230319388
pagerank-64-plsyncec-ldg,pagerank,64,ldg,2.11328,7349.0735,5.09572798886,155.396,112967604169
sssp_gather-16-plsyncec-metis,sssp_gather,16,metis,1.01003,824.093,1.20100663391,131.821,53201652648
connected_component-8-plsync-hybrid,connected_component,8,hybrid,0,0,1.0,0,0
pagerank-32-plsync-random,pagerank,32,random,15.7746,1711.198,1.28248679522,1269.64,701120045291
sssp_gather-128-plsyncec-ldg,sssp_gather,128,ldg,2.44651,12980.8138,4.03185725277,167.316,175691511236
pagerank-128-plsync-hybrid,pagerank,128,hybrid,8.23485,1672.915,1.22310562357,291.487,406030343608
pagerank-64-plsync-hybrid_ginger,pagerank,64,hybrid_ginger,6.36461,1814.549,1.34840266365,196.819,383382754391
pagerank-16-plsyncec-ldg,pagerank,16,ldg,1.78528,3560.542,1.82040612968,382.243,69637615553
connected_component-8-plsync-dbh,connected_component,8,dbh,0,0,1.0,0,0
sssp_gather-16-plsyncec-ldg,sssp_gather,16,ldg,1.86016,3709.072,1.47188759477,177.722,77035658856
connected_component-128-plsync-hybrid,connected_component,128,hybrid,8.23485,1661.9513,1.05870543037,273.08,291204818449
sssp-64-plsync-ldg,sssp,64,ldg,2.11328,7392.1275,1.0,0,0
connected_component-16-plsync-hybrid,connected_component,16,hybrid,4.14518,1740.652,1.1611715736,328.47,161740258938
pagerank-32-plsync-grid,pagerank,32,grid,0,0,1.0,0,0
connected_component-128-plsync-fennel,connected_component,128,fennel,2.43842,14588.0626,2.31158257431,161.955,172238969196
sssp_gather-16-plsyncec-fennel,sssp_gather,16,fennel,1.86037,3551.393,1.51139087437,178.7,77020028675
pagerank-16-plsync-hybrid,pagerank,16,hybrid,4.14518,1783.112,1.21298273138,484.849,191140964635
sssp-128-plsync-dbh,sssp,128,dbh,16.6886,4676.04,1.27548363222,177.147,342535187568
connected_component-16-plsync-fennel,connected_component,16,fennel,1.86037,3506.939,1.3384379754,360.631,75184356152
connected_component-32-plsync-random,connected_component,32,random,15.7746,1743.333,1.33761341284,665.277,494079187126
connected_component-64-plsync-ldg,connected_component,64,ldg,2.11328,7369.6625,1.80331062227,128.262,108866878241
sssp-64-plsync-hybrid_ginger,sssp,64,hybrid_ginger,6.36461,1842.179,1.0,0,0
sssp_gather-64-plsyncec-fennel,sssp_gather,64,fennel,2.21796,8051.6091,2.52798723824,93.3104,118521213621
sssp-16-plsync-grid,sssp,16,grid,5.669,1823.95,1.44617247597,96.5497,96250209540
sssp-16-plsync-fennel,sssp,16,fennel,1.78539,3471.84,1.0,0,0
sssp-64-plsync-grid,sssp,64,grid,10.0787,1685.8802,1.1162305514,78.3413,138450945703
sssp-8-plsync-hybrid_ginger,sssp,8,hybrid_ginger,0,0,1.0,0,0
sssp-32-plsync-random,sssp,32,random,15.7746,1744.753,1.4978664227,113.208,190240885810
pagerank-8-plsyncec-ldg,pagerank,8,ldg,1.63501,3473.243,1.35301125673,717.7,59009527849
sssp-16-plsync-dbh,sssp,16,dbh,7.58248,2336.437,1.17084081429,96.3099,174916848880
connected_component-64-plsync-hybrid_ginger,connected_component,64,hybrid_ginger,6.36461,1814.508,1.15982340245,180.372,309746143447
connected_component-16-plsync-metis,connected_component,16,metis,1.01003,842.889,1.18711055901,239.412,38143658675
pagerank-8-plsync-grid,pagerank,8,grid,0,0,1.0,0,0
pagerank-128-plsyncec-fennel,pagerank,128,fennel,2.43842,14500.7986,7.69873491079,110.941,175610195603
sssp-16-plsync-hybrid,sssp,16,hybrid,4.14518,1772.846,1.15565354436,77.1422,122951608804
connected_component-16-plsync-dbh,connected_component,16,dbh,7.58248,2419.095,1.05598455406,571.972,287088918229
