file,algorithm,partitions,ingress,rf,total_ingress,compute_imbalance,total_time,total_network
pagerank-32-plsyncec-ldg,pagerank,32,ldg,1.84749,601.21419,nan,1e-06,7840941886
pagerank-8-plsync-hybrid_ginger,pagerank,8,hybrid_ginger,2.6873,98.589,nan,1e-06,5816876065
pagerank-64-plsyncec-fennel,pagerank,64,fennel,1.86722,1408.29409,nan,4e-06,13285754981
pagerank-128-plsyncec-fennel,pagerank,128,fennel,1.87721,2837.64192,nan,1e-05,24365527085
pagerank-64-plsync-hybrid_ginger,pagerank,64,hybrid_ginger,3.30308,77.7056,nan,1e-06,16536120565
pagerank-64-plsync-grid,pagerank,64,grid,3.2017,32.41654,nan,0.0,5167685283
pagerank-16-plsync-grid,pagerank,16,grid,2.8928,38.87783,nan,1e-06,4484390083
pagerank-16-plsyncec-fennel,pagerank,16,fennel,1.80906,396.31343,nan,1e-06,5075665747
pagerank-8-plsync-random,pagerank,8,random,2.88686,57.6265,nan,0.0,4471434723
pagerank-128-plsync-dbh,pagerank,128,dbh,2.68183,647.211,nan,1e-06,26409338881
pagerank-64-plsyncec-metis,pagerank,64,metis,1.00048,60.42848,nan,1e-06,942976955
pagerank-64-plsync-hybrid,pagerank,64,hybrid,3.33982,34.18672,nan,1e-06,5458919311
pagerank-64-plsyncec-ldg,pagerank,64,ldg,1.86718,1139.06864,nan,1e-06,13285644471
pagerank-8-plsyncec-fennel,pagerank,8,fennel,1.73493,234.4088,nan,0.0,3581878033
pagerank-128-plsync-random,pagerank,128,random,3.37456,41.98311,nan,1e-06,5862523877
pagerank-32-plsyncec-metis,pagerank,32,metis,1.00029,61.24786,nan,1e-06,901444474
pagerank-16-plsyncec-ldg,pagerank,16,ldg,1.80907,329.62105,nan,1e-06,5075686163
pagerank-32-plsync-random,pagerank,32,random,3.27074,33.66987,nan,1e-06,5268970952
pagerank-16-plsync-dbh,pagerank,16,dbh,2.50916,131.8262,nan,1e-06,6791860177
pagerank-16-plsync-hybrid,pagerank,16,hybrid,3.13701,42.91124,nan,0.0,4987791071
pagerank-32-plsync-grid,pagerank,32,grid,0,0,1.0,0,0
pagerank-8-plsyncec-metis,pagerank,8,metis,1.0001,70.85062,nan,0.0,894997935
pagerank-8-plsyncec-random_ec,pagerank,8,random_ec,2.88707,48.4306,nan,1e-06,4783280291
pagerank-8-plsyncec-ldg,pagerank,8,ldg,1.73527,206.3078,nan,1e-06,3582591077
pagerank-128-plsyncec-random_ec,pagerank,128,random_ec,3.37463,33.23077,nan,1e-06,6175426765
pagerank-8-plsync-hybrid,pagerank,8,hybrid,2.88707,55.5713,nan,1e-06,4471865417
pagerank-64-plsync-random,pagerank,64,random,3.33964,34.67531,nan,0.0,5454160173
pagerank-16-plsyncec-random_ec,pagerank,16,random_ec,3.13701,35.91058,nan,1e-06,5299133067
pagerank-128-plsyncec-metis,pagerank,128,metis,1.00075,64.10872,nan,1e-06,1268894089
pagerank-128-plsyncec-ldg,pagerank,128,ldg,1.87704,2298.16669,nan,0.0,24365004049
pagerank-64-plsync-dbh,pagerank,64,dbh,2.65649,345.476,nan,0.0,15202546319
pagerank-128-plsync-grid,pagerank,128,grid,0,0,1.0,0,0
pagerank-128-plsync-hybrid_ginger,pagerank,128,hybrid_ginger,3.35578,128.8752,nan,0.0,27800611295
pagerank-32-plsyncec-fennel,pagerank,32,fennel,1.84762,738.76816,nan,1e-06,7841195078
pagerank-16-plsyncec-metis,pagerank,16,metis,1.00016,64.18996,nan,1e-06,895838563
pagerank-16-plsync-hybrid_ginger,pagerank,16,hybrid_ginger,3.01307,81.2926,nan,1e-06,7830243381
pagerank-8-plsync-dbh,pagerank,8,dbh,2.32847,106.2364,nan,1e-06,5077461491
pagerank-64-plsyncec-random_ec,pagerank,64,random_ec,3.33982,28.7361,nan,1e-06,5766108127
pagerank-128-plsync-hybrid,pagerank,128,hybrid,3.37463,39.50738,nan,1e-06,5898200377
pagerank-32-plsync-hybrid,pagerank,32,hybrid,3.27006,36.26871,nan,0.0,5268108244
pagerank-32-plsync-hybrid_ginger,pagerank,32,hybrid_ginger,3.2012,77.0133,nan,1e-06,10907238016
pagerank-32-plsync-dbh,pagerank,32,dbh,2.60575,204.4092,nan,1e-06,9680192078
pagerank-16-plsync-random,pagerank,16,random,3.13751,47.13594,nan,1e-06,4988730719
pagerank-32-plsyncec-random_ec,pagerank,32,random_ec,3.27006,29.66803,nan,1e-06,5578970492
