file,algorithm,partitions,ingress,rf,total_ingress,compute_imbalance,total_time,total_network
pagerank-16-plsync-hybrid,pagerank,16,hybrid,3.13701,40.07332,1.07359266288,53.3466,19388089894
connected_component-16-plsync-metis,connected_component,16,metis,1.00016,63.16186,1.46041073987,2142.26,1969926960
connected_component-16-plsync-hybrid,connected_component,16,hybrid,3.13701,42.81892,1.0136152633,2705.23,290940743760
sssp-16-plsync-ldg,sssp,16,ldg,1.80907,330.22388,1.0,0,0
pagerank-32-plsync-hybrid_ginger,pagerank,32,hybrid_ginger,3.2012,75.7639,1.12228796212,32.842,24645764228
connected_component-8-plsync-metis,connected_component,8,metis,1.0001,68.52906,1.20849337338,2177.66,965295354
pagerank-128-plsync-hybrid_ginger,pagerank,128,hybrid_ginger,3.35578,130.1532,1.04444116182,41.0385,44216890639
connected_component-8-plsync-hybrid_ginger,connected_component,8,hybrid_ginger,2.6873,101.5409,1.00926537145,2963.98,231808608472
connected_component-64-plsync-hybrid_ginger,connected_component,64,hybrid_ginger,3.30308,73.7303,1.02077126112,4034.05,393440141361
sssp-32-plsync-hybrid_ginger,sssp,32,hybrid_ginger,3.2012,75.1017,1.0,0,0
sssp_gather-8-plsyncec-fennel,sssp_gather,8,fennel,1.73493,234.8496,1.01756347406,907.449,4739716886
pagerank-8-plsyncec-metis,pagerank,8,metis,1.0001,71.48356,1.03444793173,27.2349,896291839
connected_component-64-plsync-dbh,connected_component,64,dbh,2.65649,343.764,1.02007710049,3790.29,301089623869
pagerank-8-plsyncec-fennel,pagerank,8,fennel,1.73493,234.2791,1.00642037322,60.2438,8160189677
pagerank-32-plsyncec-metis,pagerank,32,metis,1.00029,61.96126,1.04163200801,12.1766,930983456
pagerank-128-plsync-random,pagerank,128,random,3.37456,54.9698,1.26698978625,88.9408,37353159761
connected_component-32-plsync-random,connected_component,32,random,3.27074,32.71442,1.03000091313,3081.75,316051601607
connected_component-32-plsync-random_ec,connected_component,32,random_ec,3.27006,27.9682,1.02135591978,3163.56,316127997966
sssp-128-plsync-random,sssp,128,random,3.37456,41.35984,1.69036227352,4956.79,416009659306
pagerank-32-plsync-random,pagerank,32,random,3.27074,32.95934,1.07680402987,48.3379,33585577064
sssp-64-plsync-random,sssp,64,random,3.33964,36.89552,1.09119783955,1810.97,59616186048
sssp_gather-32-plsyncec-ldg,sssp_gather,32,ldg,1.84749,601.67208,1.03070871245,1308.28,16204637091
connected_component-128-plsync-ldg,connected_component,128,ldg,1.87704,2323.73074,1.10476643879,7464.24,691948635121
connected_component-16-plsync-fennel,connected_component,16,fennel,1.80906,397.41507,1.02194091308,2274.72,113995132664
pagerank-16-plsync-dbh,pagerank,16,dbh,2.50916,133.846,1.04777223774,76.5138,27611296630
pagerank-128-plsyncec-metis,pagerank,128,metis,1.00075,67.07003,1.06560645265,22.2766,2965280603
sssp-16-plsync-metis,sssp,16,metis,1.00016,64.68049,1.02631252462,1120.22,1944963281
sssp_gather-64-plsyncec-ldg,sssp_gather,64,ldg,1.86718,1145.80301,1.07911326163,1744.23,68743006675
sssp-64-plsync-dbh,sssp,64,dbh,2.65649,343.77,1.08796137829,1816.79,68464892394
sssp-16-plsync-hybrid_ginger,sssp,16,hybrid_ginger,3.01307,84.9759,1.0,0,0
sssp-32-plsync-grid,sssp,32,grid,0,0,1.0,0,0
pagerank-16-plsync-metis,pagerank,16,metis,1.00016,64.37053,1.19030648473,17.9275,901699733
pagerank-32-plsync-ginger,pagerank,32,ginger,2.26959,80.76637,1.14878137602,41.0079,19051728774
connected_component-16-plsync-ldg,connected_component,16,ldg,1.80907,330.59408,1.00680365542,2298.93,113990500691
sssp_gather-8-plsyncec-metis,sssp_gather,8,metis,1.0001,69.41701,1.02394958408,968.177,1183982815
pagerank-16-plsync-hybrid_ginger,pagerank,16,hybrid_ginger,3.01307,80.767,1.03822102568,57.3024,21399965098
pagerank-128-plsync-ginger,pagerank,128,ginger,2.30527,171.00459,1.28749001092,73.5844,21817734237
sssp-16-plsync-random_ec,sssp,16,random_ec,3.13701,34.08675,1.02484846657,1087.94,6884591650
pagerank-32-plsyncec-fennel,pagerank,32,fennel,1.84762,976.29557,1.0587615406,21.3951,13161189330
connected_component-8-plsync-ldg,connected_component,8,ldg,1.73527,203.5495,1.00417979338,2382.31,101667438955
sssp_gather-8-plsync-random,sssp_gather,8,random,2.88686,49.9562,1.00587408883,943.976,8546230393
connected_component-128-plsync-random,connected_component,128,random,3.37456,37.12664,1.09497121974,8302.71,874443394446
sssp_gather-8-plsyncec-ldg,sssp_gather,8,ldg,1.73527,203.5134,1.01570510555,938.083,4740735210
pagerank-128-plsync-metis,pagerank,128,metis,1.00075,70.01934,1.06954948103,22.157,2972068683
connected_component-32-plsync-metis,connected_component,32,metis,1.00029,61.06441,1.61046076162,1921.19,9451086724
connected_component-128-plsync-metis,connected_component,128,metis,1.00075,64.49841,1.85384337404,6598.68,530328378515
connected_component-8-plsync-hybrid,connected_component,8,hybrid,2.88707,55.5943,1.00787688062,2745.63,257484187542
pagerank-128-plsync-grid,pagerank,128,grid,0,0,1.0,0,0
sssp_gather-8-plsyncec-random_ec,sssp_gather,8,random_ec,2.88707,48.4422,1.02036889107,981.211,7180890734
connected_component-8-plsync-fennel,connected_component,8,fennel,1.73493,235.5435,1.00384114434,2372.87,101627717599
sssp-128-plsync-dbh,sssp,128,dbh,2.68183,651.635,1.5682012743,4930.16,434972776419
sssp-32-plsync-metis,sssp,32,metis,1.00029,61.50988,1.12375606967,1073.27,7668115223
pagerank-64-plsync-metis,pagerank,64,metis,1.00048,60.66334,1.03062140356,10.7019,1163653301
connected_component-32-plsync-dbh,connected_component,32,dbh,2.60575,202.0825,1.07273090626,2854.38,227038834814
connected_component-8-plsync-random_ec,connected_component,8,random_ec,2.88707,48.8365,1.04621971306,3146.31,257651797234
sssp_gather-16-plsyncec-ldg,sssp_gather,16,ldg,1.80907,334.99477,1.01817796316,1112.02,7202752082
sssp_gather-32-plsync-hybrid_ginger,sssp_gather,32,hybrid_ginger,3.2012,77.5663,1.56543995465,1232.6,19155209209
connected_component-128-plsync-random_ec,connected_component,128,random_ec,3.37463,33.11687,1.11039895896,8351.54,875440391776
sssp_gather-64-plsyncec-fennel,sssp_gather,64,fennel,1.86722,1411.97592,1.09438790287,1754.12,68743044712
sssp-64-plsync-metis,sssp,64,metis,1.00048,61.24165,1.0,0,0
pagerank-64-plsync-hybrid,pagerank,64,hybrid,3.33982,45.05571,1.05040967636,36.9009,20252286367
sssp_gather-64-plsyncec-metis,sssp_gather,64,metis,1.00048,60.60644,1.10564453017,1945.07,52401907488
sssp-32-plsync-hybrid,sssp,32,hybrid,3.27006,38.02375,1.02831515401,1250.97,12566306104
connected_component-64-plsync-hybrid,connected_component,64,hybrid,3.33982,31.59831,1.06469853044,4049.9,387224827592
sssp-64-plsync-grid,sssp,64,grid,3.2017,32.90655,1.08365532349,1801.1,57883467313
pagerank-8-plsync-dbh,pagerank,8,dbh,2.32847,106.0511,1.06275819964,85.4167,16879038555
pagerank-8-plsync-hybrid_ginger,pagerank,8,hybrid_ginger,2.6873,102.2451,1.01847348712,80.6423,16327274989
connected_component-128-plsync-grid,connected_component,128,grid,0,0,1.0,0,0
sssp-64-plsync-random_ec,sssp,64,random_ec,3.33982,28.66899,1.07467548576,1808.37,59827330299
sssp-16-plsync-grid,sssp,16,grid,2.8928,38.57963,1.0137458453,1083.69,6065960480
pagerank-8-plsync-hybrid,pagerank,8,hybrid,2.88707,52.2498,1.06472894927,83.2391,16226534561
sssp_gather-16-plsync-hybrid_ginger,sssp_gather,16,hybrid_ginger,3.01307,80.6247,1.01598875499,1114.74,9969338153
sssp_gather-8-plsync-hybrid_ginger,sssp_gather,8,hybrid_ginger,2.6873,97.5932,1.01527934668,973.818,7003284847
sssp-16-plsync-random,sssp,16,random,3.13751,43.34907,1.01494765,1090.42,6670186010
sssp-128-plsync-grid,sssp,128,grid,0,0,1.0,0,0
sssp-32-plsync-dbh,sssp,32,dbh,2.60575,198.6955,1.04525233234,1307.95,17299591106
connected_component-64-plsync-metis,connected_component,64,metis,1.00048,60.03844,1.65743631646,2840.63,67764936268
connected_component-64-plsync-fennel,connected_component,64,fennel,1.86722,1415.51739,1.02473601823,3411.36,199904716440
pagerank-64-plsyncec-metis,pagerank,64,metis,1.00048,60.99542,1.02570021161,11.6049,1160068101
sssp-32-plsync-fennel,sssp,32,fennel,1.84762,740.06986,1.04918663263,1297.51,15157147475
pagerank-128-plsync-dbh,pagerank,128,dbh,2.68183,781.822,1.19306289105,74.0495,43114336995
connected_component-64-plsync-random_ec,connected_component,64,random_ec,3.33982,28.14933,1.04881809609,4058.64,387391062726
sssp_gather-128-plsyncec-fennel,sssp_gather,128,fennel,1.87721,2839.72878,1.6588437504,4893.63,436115947739
sssp_gather-8-plsync-dbh,sssp_gather,8,dbh,2.32847,110.4586,1.00740334639,937.054,8031611224
sssp-128-plsync-ldg,sssp,128,ldg,1.87704,2304.55352,1.0,0,0
connected_component-32-plsync-ldg,connected_component,32,ldg,1.84749,600.96162,1.0198759607,2591.64,129695829221
sssp-128-plsync-metis,sssp,128,metis,1.00075,69.18324,1.0,0,0
pagerank-64-plsyncec-fennel,pagerank,64,fennel,1.86722,1885.34399,1.1071625648,22.8688,18937844207
pagerank-16-plsync-ginger,pagerank,16,ginger,2.8928,39.88013,1.06967964283,82.7743,28067707353
sssp_gather-8-plsync-hybrid,sssp_gather,8,hybrid,2.88707,55.9311,1.00311855235,981.992,5488208951
sssp_gather-128-plsync-hybrid_ginger,sssp_gather,128,hybrid_ginger,3.35578,113.2631,1.35059229188,4857.34,439750767870
pagerank-32-plsync-dbh,pagerank,32,dbh,2.60575,199.9169,1.11058837617,31.8823,23860942630
pagerank-16-plsync-random,pagerank,16,random,3.13751,38.49864,1.04564702208,124.277,41900409540
connected_component-16-plsync-random,connected_component,16,random,3.13751,42.77701,1.03786381512,2751.15,291009420414
sssp_gather-64-plsync-hybrid_ginger,sssp_gather,64,hybrid_ginger,3.30308,74.1936,1.06867831461,1747.94,71665096135
pagerank-16-plsyncec-fennel,pagerank,16,fennel,1.80906,396.69726,1.01234034763,51.9488,13586890180
sssp-64-plsync-fennel,sssp,64,fennel,1.86722,1410.05539,1.0,0,0
pagerank-16-plsyncec-ldg,pagerank,16,ldg,1.80907,328.52339,1.03182480585,51.7357,13586790633
connected_component-32-plsync-grid,connected_component,32,grid,0,0,1.0,0,0
